index,Absorption/nm,Emission/nm,PLQY,SMILES,solvent,Reference(doi),Et30,SP,SdP,SA,SB,"Test method of Quantum Yield (0= measured by relative method/not mention in origin paper, 1= absolute QY)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,535,710,0.01,CN1N=C2C(C=C(N(C)C)C=C2)=C1C3=CC=C(S3)/C=C(C#N)/C#N,CH2Cl2,10.1021/jacs.5b09241,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,351,447,0.26,CN1N=C2C(C=C(C(C)=O)C=C2)=C1C3=CC=C(S3)C,CH2Cl2,10.1021/jacs.5b09241,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,365,449,0.6,CN1N=C2C(C=C(C(C)=O)C=C2)=C1C3=CC=C(O3)C,CH2Cl2,10.1021/jacs.5b09241,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,375,472,0.9,CN1N=C2C(C=C(C(C)=O)C=C2)=C1C3=CC=C(OC)O3,CH2Cl2,10.1021/jacs.5b09241,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,371,414,0.29,CN1N=C2C(C=C(C(C)=O)C=C2)=C1C3=CC=C(O3)C(C)=O,CH2Cl2,10.1021/jacs.5b09241,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,376,423,0.16,CN1N=C2C(C=C(C(C)=O)C=C2)=C1C3=CC=C(O3)C=O,CH2Cl2,10.1021/jacs.5b09241,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925,365,456,0.14,CN1N=C2C(C=C(C(C)=O)C=C2)=C1C3=CC=C(O3)C(OCC)=O,CH2Cl2,10.1021/jacs.5b09241,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,358,468,0.65,CN1N=C2C(C=C(C(C)=O)C=C2)=C1C3=CC=C(S3)C=O,CH2Cl2,10.1021/jacs.5b09241,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,394,523,0.37,CN1N=C2C(C=C([N+]([O-])=O)C=C2)=C1C3=CC=C(O3)C=O,CH2Cl2,10.1021/jacs.5b09241,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,385,525,0.3,CN1N=C2C(C=C([N+]([O-])=O)C=C2)=C1C3=CC=C(S3)C(C)=O,CH2Cl2,10.1021/jacs.5b09241,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,383,554,0.14,CN1N=C2C(C=C([N+]([O-])=O)C=C2)=C1C3=CC4=C(S3)C=CC=C4,CH2Cl2,10.1021/jacs.5b09241,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,398,590,0.03,CN1N=C2C(C=C([N+]([O-])=O)C=C2)=C1C3=CN(CC4=CC=CC=C4)C=C3,CH2Cl2,10.1021/jacs.5b09241,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,395,602,0.01,CN1N=C2C(C=C([N+]([O-])=O)C=C2)=C1C3=CN(C)C4=C3C=CC=C4,CH2Cl2,10.1021/jacs.5b09241,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,369,456,0.9,CN1N=C2C(C=C(C=O)C=C2)=C1C3=CC=C(O3)C,CH2Cl2,10.1021/jacs.5b09241,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,364,446,0.86,CN1N=C2C(C=C(C=O)C=C2)=C1C3=CC=C(O3)CO,CH2Cl2,10.1021/jacs.5b09241,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,367,443,0.7,CN1N=C2C(C=C(C=O)C=C2)=C1C3=CC4=C(O3)C=CC=C4,CH2Cl2,10.1021/jacs.5b09241,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,310,392,0.67,CC(C=C1)=CC=C1C2=NN3C=CC=NC3=N2,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,Absolute quantum yield in CH2Cl2 (10 μM) was determined with an integrating sphere system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,317,402,0.57,COC(C=C1)=CC=C1C2=NN3C=CC=NC3=N2,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,325,452,0.81,COC(C=C1)=C(OC)C=C1C2=NN3C=CC=NC3=N2,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,358,519,0.52,CN(C)C(C=C1)=CC=C1C2=NN3C=CC=NC3=N2,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,304,356,0.86,N12C=CC=NC1=NC(C3=CC=CC=C3)=N2,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,294,351,0.05,FC(F)(F)C1=CC(C2=NN3C=CC=NC3=N2)=CC(C(F)(F)F)=C1,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,305,358,0.32,ClC(C=C1)=CC=C1C2=NN3C=CC=NC3=N2,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,305,358,0.19,O=CC(C=C1)=CC=C1C2=NN3C=CC=NC3=N2,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,296,356,0.29,N#CC(C=C1)=CC=C1C2=NN3C=CC=NC3=N2,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,349,527,0.32,N12C=CC=NC1=NC(C3=CC=C(C=C3)N4CCCCC4)=N2,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,312,384,0.88,CC(C=C1)=CC=C1C2=CC=NC3=NC=NN23,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,326,389,0.85,COC(C=C1)=CC=C1C2=CC=NC3=NC=NN23,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,339,411,0.75,COC(C(OC)=C1)=CC=C1C2=CC=NC3=NC=NN23,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,389,449,0.99,CN(C)C(C=C1)=CC=C1C2=CC=NC3=NC=NN23,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,310,374,0.7,C1(C2=CC=CC=C2)=CC=NC3=NC=NN13,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,296,399,0.99,FC(C1=CC(C(F)(F)F)=CC(C2=CC=NC3=NC=NN23)=C1)(F)F,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,309,394,0.8,ClC(C=C1)=CC=C1C2=CC=NC3=NC=NN23,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,309,390,0.85,O=CC(C=C1)=CC=C1C2=CC=NC3=NC=NN23,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,300,400,0.51,N#CC(C=C1)=CC=C1C2=CC=NC3=NC=NN23,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,387,460,0.98,C1(C2=CC=C(N3CCCCC3)C=C2)=CC=NC4=NC=NN14,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,391,653,0.01,N#CC(C=C1)=CC=C1C2=CC=NC3=NC(C4=CC=C(C=C4)N5CCCCC5)=NN23,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,400,645,0.01,CN(C)C(C=C1)=CC=C1C2=NN3C(C4=CC=C(C#N)C=C4)=CC=NC3=N2,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,402,620,0.02,CN(C)C(C=C1)=CC=C1C2=NN3C(C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=CC=NC3=N2,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,378,573,0.38,CN(C)C(C=C1)=CC=C1C2=NN3C(C4=CC=C(Cl)C=C4)=CC=NC3=N2,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,373,553,0.33,CN(C)C(C=C1)=CC=C1C2=NN3C(C4=CC=C(C)C=C4)=CC=NC3=N2,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,318,401,0.42,FC(C1=CC(C(F)(F)F)=CC(C2=CC=NC3=NC(C4=CC=CC=C4)=NN23)=C1)(F)F,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,324,420,0.61,CC(C=C1)=CC=C1C2=NN3C(C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=CC=NC3=N2,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,317,390,0.62,CC(C=C1)=CC=C1C2=NN3C(C4=CC=C(C)C=C4)=CC=NC3=N2,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,317,389,0.25,N12C(C3=CC=CC=C3)=CC=NC1=NC(C4=CC=CC=C4)=N2,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,309,379,0.64,CC(C=C1)=CC=C1C2=CC=NC3=NC(C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=NN23,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,305,389,0.95,FC(C1=CC(C2=NN3C(C4=CC=CC=C4)=CC=NC3=N2)=CC(C(F)(F)F)=C1)(F)F,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,391,450,0.99,CN(C)C(C=C1)=CC=C1C2=CC=NC3=NC(C4=CC=C(C)C=C4)=NN23,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,394,453,0.86,CN(C)C(C=C1)=CC=C1C2=CC=NC3=NC(C4=CC=C(Cl)C=C4)=NN23,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,401,462,0.8,CN(C)C(C=C1)=CC=C1C2=CC=NC3=NC(C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=NN23,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,402,464,0.96,CN(C)C(C=C1)=CC=C1C2=CC=NC3=NC(C4=CC=C(C#N)C=C4)=NN23,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,400,473,0.98,N#CC(C=C1)=CC=C1C2=NN3C(C4=CC=C(N5CCCCC5)C=C4)=CC=NC3=N2,CH2Cl2,10.1021/jacs.6b03890,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,354,468,0.76,CC(C)(C)C1=CC2=[N+]3C4=C(C(C5=CC=CC=C5)=C(C3=C1)C6=CC=CC=C6)C=CC=C4C(C7=CC=CC=C7)=C2C8=CC=CC=C8,CH2Cl2,10.1039/c6ra15464f,40.7,0.761,0.769,0.04,0.178,1,Absolute fluorescence quantum yields were measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,353,458,0.79,CC(C)(C)C1=CC2=[N+]3C4=C(C(C5=CC=CC=C5C)=C(C3=C1)C6=CC=CC=C6C)C=CC=C4C(C7=CC=CC=C7C)=C2C8=C(C)C=CC=C8,CH2Cl2,10.1039/c6ra15464f,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,355,472,0.75,CC(C)(C)C1=CC2=[N+]3C4=C(C(C5=CC=CC(C)=C5)=C(C3=C1)C6=CC=CC(C)=C6)C=CC=C4C(C7=CC=CC(C)=C7)=C2C8=CC(C)=CC=C8,CH2Cl2,10.1039/c6ra15464f,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,356,475,0.62,CC(C)(C)C1=CC2=[N+]3C4=C(C(C5=CC=C(C)C=C5)=C(C3=C1)C6=CC=C(C)C=C6)C=CC=C4C(C7=CC=C(C)C=C7)=C2C8=CC=C(C)C=C8,CH2Cl2,10.1039/c6ra15464f,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,358,476,0.91,CC(C)(C)C1=CC2=[N+]3C4=C(C(C5=CC=C(C(C)(C)C)C=C5)=C(C3=C1)C6=CC=C(C(C)(C)C)C=C6)C=CC=C4C(C7=CC=C(C(C)(C)C)C=C7)=C2C8=CC=C(C(C)(C)C)C=C8,CH2Cl2,10.1039/c6ra15464f,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,357,489,0.78,CC(C)(C)C1=CC2=[N+]3C4=C(C(C5=CC=C(OC)C=C5)=C(C3=C1)C6=CC=C(OC)C=C6)C=CC=C4C(C7=CC=C(OC)C=C7)=C2C8=CC=C(OC)C=C8,CH2Cl2,10.1039/c6ra15464f,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,354,471,0.61,CC(C)(C)C1=CC2=[N+]3C4=C(C(C5=CC=C(Cl)C=C5)=C(C3=C1)C6=CC=C(Cl)C=C6)C=CC=C4C(C7=CC=C(Cl)C=C7)=C2C8=CC=C(Cl)C=C8,CH2Cl2,10.1039/c6ra15464f,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,351,464,0.28,CC(C)(C)C1=CC2=[N+]3C4=C(C(C5=CC=C(C(F)(F)F)C=C5)=C(C3=C1)C6=CC=C(C(F)(F)F)C=C6)C=CC=C4C(C7=CC=C(C(F)(F)F)C=C7)=C2C8=CC=C(C(F)(F)F)C=C8,CH2Cl2,10.1039/c6ra15464f,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,353,469,0.68,CC(C)(C)C1=CC2=[N+]3C4=C(C(C5=CC=C(C(C)=O)C=C5)=C(C3=C1)C6=CC=C(C(C)=O)C=C6)C=CC=C4C(C7=CC=C(C(C)=O)C=C7)=C2C8=CC=C(C(C)=O)C=C8,CH2Cl2,10.1039/c6ra15464f,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,351,463,0.68,CC(C)(C)C1=CC2=[N+]3C4=C(C(C5=CC=CC(C#N)=C5)=C(C3=C1)C6=CC=CC(C#N)=C6)C=CC=C4C(C7=CC=CC(C#N)=C7)=C2C8=CC(C#N)=CC=C8,CH2Cl2,10.1039/c6ra15464f,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,352,467,0.59,CC(C)(C)C1=CC2=[N+]3C4=C(C(C5=CC=CC6=C5C=CC=C6)=C(C3=C1)C7=CC=CC8=C7C=CC=C8)C=CC=C4C(C9=CC=CC%10=C9C=CC=C%10)=C2C%11=C(C=CC=C%12)C%12=CC=C%11,CH2Cl2,10.1039/c6ra15464f,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,354,451,0.48,CC(C)(C)C1=CC2=[N+]3C4=C(C(CCCC)=C(C3=C1)CCCC)C=CC=C4C(CCCC)=C2CCCC,CH2Cl2,10.1039/c6ra15464f,40.7,0.761,0.769,0.04,0.178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
